Universitas,Prodi,Rank,text
politeknik kesehatan kementerian kesehatan gorontalo,farmasi,999.0,farmasi
politekknik kesehatan kementerian kesehatan riau,gizi,999.0,gizi
universitas bina mandiri gorontalo,administrasi rumah sakit,999.0,administrasi rumah sakit
sekolah tinggi ilmu kesehatan bina bangsa majene,kesehatan masyarakat,999.0,kesehatan masyarakat
politeknik kesehatan kementerian kesehatan yogyakarta,keperawatan anestesiologi,999.0,keperawatan anestesiologi
politeknik kesehatan kementerian kesehatan kupang,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan aceh,gizi,999.0,gizi
politeknik cendrawasih palu,teknologi laboratorium medis,999.0,teknologi laboratorium medis
universitas strada indonesia,kebidanan,999.0,kebidanan
sekolah tinggi farmasi mahaganesha,farmasi,999.0,farmasi
politeknik kesehatan kementerian kesehatan palu,sanitasi,999.0,sanitasi
politeknik kesehatan kementerian kesehatan gorontalo,kebidanan,999.0,kebidanan
universitas pahlawan tuanku tambusai,kebidanan,999.0,kebidanan
universitas muhammadiyah lamongan,kebidanan,999.0,kebidanan
sekolah tinggi ilmu kesehatan wira medika bali,keperawatan,999.0,keperawatan
sekolah tinggi ilmu kesehatan insan se agung,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan gorontalo,gizi,999.0,gizi
institut kesehatan deli husada deli tua,kedokteran,999.0,kedokteran
universitas negeri padang,kedokteran hewan,21.0,kedokteran hewan
universitas muhammadiyah metro,kedokteran,999.0,kedokteran
universitas mega buana palopo,kedokteran gigi,999.0,kedokteran gigi
universitas indo global mandiri,kedokteran,999.0,kedokteran
universitas dr soetomo,kebidanan,999.0,kebidanan
universitas dian nuswantoro,manajemen informasi kesehatan,999.0,manajemen informasi kesehatan
sekolah tinggi ilmu kesehatan st elisabeth keuskupan maumere,fisioterapi,999.0,fisioterapi
sekolah tinggi ilmu kesehatan pgi cikini,keselamatan dan kesehatan kerja,999.0,keselamatan dan kesehatan kerja
sekolah tinggi ilmu kesehatan bethesda tomohon,keperawatan,999.0,keperawatan
politeknik muhammadiyah makassar,teknologi radiologi pencitraan,999.0,teknologi radiologi pencitraan
akademi teknik radiologi dr adji saptogino,teknologi radiologi pencitraan,999.0,teknologi radiologi pencitraan
universitas negeri semarang,gizi,999.0,gizi
universitas negeri padang,kedokteran,21.0,kedokteran
universitas hasanuddin,kedokteran hewan,11.0,kedokteran hewan
universitas hang tuah pekanbaru,kebidanan,999.0,kebidanan
sekolah tinggi ilmu kesehatan rajekwesi bojonegoro,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan yogyakarta,keperawatan,999.0,keperawatan
politeknik kesehatan kementerian kesehatan jakarta i,kebidanan,999.0,kebidanan
politeknik kesehatan kementerian kesehatan jakarta i,keperawatan,999.0,keperawatan
politekknik kesehatan kementerian kesehatan riau,kebidanan,999.0,kebidanan
akademi kesehatan arga husada,fisioterapi,999.0,fisioterapi
akademi farmasi prayoga padang,farmasi,999.0,farmasi
universitas siliwangi,akuntansi,999.0,akuntansi
universitas pamulang,administrasi perkantoran,999.0,administrasi perkantoran
universitas nahdlatul ulama purwokerto,manajemen,999.0,manajemen
stai raudhatul akmal,ekonomi syariah,999.0,ekonomi syariah
universitas pignatelli triputra,manajemen,999.0,manajemen
sekolah tinggi ilmu ekonomi jambi,manajemen,999.0,manajemen
universitas teknologi bandung,bisnis digital,999.0,bisnis digital
institut agama islam negeri kerinci,manajemen bisnis syariah,999.0,manajemen bisnis syariah
politeknik sukabumi,administrasi bisnis,999.0,administrasi bisnis
universitas muhammadiyah sinjai,bisnis digital,999.0,bisnis digital
politeknik kesehatan kementerian kesehatan gorontalo,keperawatan,999.0,keperawatan
universitas 17 agustus 1945 cirebon,manajemen,999.0,manajemen
universitas nusa bangsa,akuntansi,999.0,akuntansi
universitas muhammadiyah aceh,akuntansi,999.0,akuntansi
universitas cendekia mitra indonesia,manajemen,999.0,manajemen
sekolah tinggi ilmu ekonomi sutaatmadja,manajemen,999.0,manajemen
universitas masoem,komputerisasi akuntansi,999.0,komputerisasi akuntansi
universitas muslim nusantara alwashliyah,akuntansi,999.0,akuntansi
universitas doktor husni ingratubun tual,manajemen,999.0,manajemen
sekolah tinggi ilmu ekonomi bina karya,manajemen,999.0,manajemen
institut keuanganperbankan dan informatika asia perbanas,manajemen,999.0,manajemen
universitas wijayakusuma purwokerto,manajemen,999.0,manajemen
universitas 17 agustus 1945 jakarta,bisnis digital,999.0,bisnis digital
universitas sumatera utara,ekonomi pembangunan,14.0,ekonomi pembangunan
sekolah tinggi ekonomi dan bisnis islam al jabar bandung jawa barat,ekonomi syariah,999.0,ekonomi syariah
politeknik cristo re,ekowisata,999.0,ekowisata
universitas islam negeri sayyid ali rahmatullah tulungagung,ekonomi syariah,999.0,ekonomi syariah
universitas sali alaitaam,kewirausahaan,999.0,kewirausahaan
politeknik semen indonesia,administrasi perkantoran,999.0,administrasi perkantoran
institut teknologi statistika dan bisnis muhammadiyah semarang,manajemen ritel,999.0,manajemen ritel
universitas tunas pembangunan surakarta,akuntansi,999.0,akuntansi
stai nida el adabi parung panjang bogor,ekonomi syariah,999.0,ekonomi syariah
sekolah tinggi ilmu ekonomi palangka raya,ekonomi pembangunan,999.0,ekonomi pembangunan
politeknik bina madani,akuntansi,999.0,akuntansi
universitas aisyah pringsewu,gizi,999.0,gizi
politeknik kesehatan kementerian kesehatan bengkulu,kebidanan,999.0,kebidanan
institut teknologi bacharuddin jusuf habibie,teknik robotik dan kecerdasan buatan,999.0,teknik robotik dan kecerdasan buatan
institut teknologi bacharuddin jusuf habibie,teknik perkapalan,999.0,teknik perkapalan
universitas presiden,agribisnis,999.0,agribisnis
sekolah tinggi ekonomi dan bisnis syariah indo global mandiri,hukum ekonomi syariah,999.0,hukum ekonomi syariah
institut agama islam riyadlatul mujahidin ngabar ponorogo,hukum keluarga islam,999.0,hukum keluarga islam
universitas telkom,desain komunikasi visual,999.0,desain komunikasi visual
institut teknologi dan bisnis nusantara,agribisnis,999.0,agribisnis
universitas lakidende unaaha,agribisnis,999.0,agribisnis
universitas muria kudus,agribisnis,999.0,agribisnis
institut seni indonesia denpasar,animasi,999.0,animasi
