Universitas,Prodi,Jenjang,Status
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH LHOKSEUMAWE, LHOKSEUMAWE",ILMU KEPERAWATAN,S1,13
"UNIVERSITAS ABDURRAB, PEKANBARU",FISIOTERAPI,S1,17
"UNIVERSITAS DEHASEN BENGKULU, BENGKULU",KEBIDANAN,S1,02
"UNIVERSITAS DEHASEN BENGKULU, BENGKULU",BIDAN,Profesi,02
"UNIVERSITAS INDONESIA TIMUR, MAKASSAR",ANALIS KESEHATAN,D-III,09
"UNIVERSITAS SEBELAS MARET, SURAKARTA",ILMU BEDAH,Spesialis,PTN
"AKADEMI KEBIDANAN AGUNG HUSADA, OGAN KOMERING ILIR",KEBIDANAN,D-III,02
"INSTITUT SWADIRI, JAYAPURA",ADMINISTRASI KESEHATAN,S1,14
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN ACEH, BANDA ACEH",KEBIDANAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG, MALANG",TEKNOLOGI BANK DARAH,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN, MEDAN",KESEHATAN GIGI,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG KARANG, BANDAR LAMPUNG",SANITASI LINGKUNGAN,D-IV,PTKL
"POLITEKNIK NUSANTARA BALIKPAPAN, BALIKPAPAN",FARMASI,D-III,11
"UNIVERSITAS AN NUUR, PURWODADI",FARMASI,S1,06
"UNIVERSITAS BHAMADA SLAWI, TEGAL",FARMASI,S1,06
"UNIVERSITAS ESA UNGGUL, JAKARTA",FARMASI,S1,03
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",DIETISIEN,Profesi,PTN
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",PENYAKIT DALAM,Subspesialis,PTN
"UNIVERSITAS HAFSHAWATY ZAINUL HASAN, PROBOLINGGO",KEBIDANAN,S1,07
"UNIVERSITAS HAFSHAWATY ZAINUL HASAN, PROBOLINGGO",BIDAN,Profesi,07
"UNIVERSITAS ISLAM BANDUNG, BANDUNG",APOTEKER,Profesi,04
"UNIVERSITAS JAMBI, JAMBI",KESEHATAN HEWAN,D-III,PTN
"UNIVERSITAS KARYA PERSADA MUNA, MUNA",ADMINISTRASI KESEHATAN,S1,09
"UNIVERSITAS MAHASARASWATI DENPASAR, DENPASAR",KEDOKTERAN,S1,08
"UNIVERSITAS MAHASARASWATI DENPASAR, DENPASAR",DOKTER,Profesi,08
"UNIVERSITAS MOHAMMAD NATSIR BUKITTINGGI, BUKITTINGGI",KEPERAWATAN,D-III,10
"UNIVERSITAS MUHAMMADIYAH BANJARMASIN, BANJARMASIN",APOTEKER,Profesi,11
"UNIVERSITAS MUHAMMADIYAH GRESIK, GRESIK",FARMASI,D-III,07
"UNIVERSITAS MUHAMMADIYAH KLATEN, KLATEN",NERS,Profesi,06
"UNIVERSITAS MUHAMMADIYAH KLATEN, KLATEN",ILMU KEPERAWATAN,S1,06
"UNIVERSITAS PALANGKA RAYA, PALANGKA RAYA",FARMASI,S1,PTN
"UNIVERSITAS SAINS AL-QUR'AN, WONOSOBO",NERS,Profesi,06
"UNIVERSITAS SAINS AL-QUR'AN, WONOSOBO",KEPERAWATAN,S1,06
"UNIVERSITAS SAM RATULANGI, MANADO",ILMU KESEHATAN MASYARAKAT,S1,PTN
Sekolah Tinggi Ilmu Ekonomi Harapan Bangsa,Akuntansi,S1,04
Politeknik Negeri Malang,Akuntansi Manajemen (Kampus Kab Pamekasan),D-IV,PTN
Universitas Maritim Raja Ali Haji (UMRAH),Akuntansi,S1,PTN
Universitas Bengkulu,Akuntansi,S1,PTN
Universitas Islam Negeri Walisongo Semarang,Ekonomi Syariah (Ekonomi Islam),S1,PTAN
Universitas Maritim Raja Ali Haji (UMRAH),Bisnis Digital,S1,PTN
Universitas Bina Nusantara,Bisnis Digital (Kampus Kota Semarang),S1,03
Universitas Islam Negeri Syarif Hidayatullah,Ekonomi Syariah,S1,PTAN
Universitas Mega Buana Palopo,Perdagangan Internasional,S1,09
Universitas Bengkulu,Ekonomi Pembangunan,S1,PTN
Universitas Islam Kebangsaan Indonesia,Manajemen,S1,13
Universitas Buana Perjuangan Karawang,Manajemen,S1,04
Universitas Medika Suherman,Bisnis Digital,S1,04
Universitas Trilogi,Akuntansi,S1,03
Universitas Catur Insan Cendekia,Manajemen Bisnis,D-III,04
Universitas Teknokrat Indonesia,Akuntansi,S1,02
Universitas Syiah Kuala,Ilmu Ekonomi,S3,PTN
Universitas Sains Indonesia,Administrasi Bisnis,S1,04
Universitas Media Nusantara Citra,Manajemen,S1,03
Universitas Palangka Raya,Akuntansi,S1,PTN
Universitas Diponegoro,Bioteknologi,S1,PTN
Universitas Negeri Makassar,Kimia,S1,PTN
Universitas Negeri Makassar,Biologi,S1,PTN
Universitas Negeri Makassar,Matematika,S1,PTN
Institut Teknologi Statistika Dan Bisnis Muhammadiyah Semarang,Sains Aktuaria,S1,06
Universitas Muhammadiyah Riau,Kimia,S1,17
"AKADEMI REFRAKSI OPTISI SURABAYA, SURABAYA",REFRAKSI OPTISI,D-III,07
"INSTITUT TEKNOLOGI DAN KESEHATAN MUHAMMADIYAH KALIMANTAN BARAT, PONTIANAK",NERS,Profesi,11
"INSTITUT TEKNOLOGI DAN KESEHATAN MUHAMMADIYAH KALIMANTAN BARAT, PONTIANAK",KEPERAWATAN,D-III,11
"INSTITUT TEKNOLOGI DAN KESEHATAN MUHAMMADIYAH KALIMANTAN BARAT, PONTIANAK",ILMU KEPERAWATAN,S1,11
"INSTITUT TEKNOLOGI, SAINS, DAN KESEHATAN RS. DR. SOEPRAOEN KESDAM V/BRW, MALANG",BIDAN,Profesi,07
"INSTITUT TEKNOLOGI, SAINS, DAN KESEHATAN RS. DR. SOEPRAOEN KESDAM V/BRW, MALANG",KEPERAWATAN,D-III,07
"INSTITUT TEKNOLOGI, SAINS, DAN KESEHATAN RS. DR. SOEPRAOEN KESDAM V/BRW, MALANG",KEBIDANAN,S1,07
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK, PONTIANAK",KEBIDANAN,D-III,PTKL
"UNIVERSITAS AIRLANGGA, SURABAYA",ILMU KEDOKTERAN TROPIS,S2,PTN
"UNIVERSITAS BAITURRAHMAH, PADANG",FARMASI KLINIS,S1,10
"UNIVERSITAS BENGKULU, BENGKULU",FARMASI,S1,PTN
"UNIVERSITAS BINA SEHAT PPNI MOJOKERTO, MOJOKERTO",BIDAN,Profesi,07
"UNIVERSITAS BINA SEHAT PPNI MOJOKERTO, MOJOKERTO",ILMU KEPERAWATAN,S1,07
"UNIVERSITAS BINA SEHAT PPNI MOJOKERTO, MOJOKERTO",NERS,Profesi,07
"UNIVERSITAS BINA SEHAT PPNI MOJOKERTO, MOJOKERTO",KEBIDANAN,S1,07
"UNIVERSITAS BRAWIJAYA, MALANG",ILMU GIZI,S2,PTN
"UNIVERSITAS HASANUDDIN, MAKASSAR",KEPERAWATAN MEDIKAL BEDAH,Spesialis,PTN
"UNIVERSITAS ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA, JAKARTA",APOTEKER,Profesi,PTAN
"UNIVERSITAS ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA, JAKARTA",FARMASI,S1,PTAN
"UNIVERSITAS MUHAMMADIYAH SEMARANG, SEMARANG",KESEHATAN MASYARAKAT,S1,06
Universitas Sebelas Maret,Manajemen Perdagangan Internasional,D-IV,PTN
Universitas Jenderal Soedirman,Matematika,S1,PTN
Universitas Negeri Medan,Kimia,S1,PTN
Universitas Pakuan,Matematika,S1,04
Universitas Islam Malang,Biologi,S1,07
"INSTITUT CITRA INTERNASIONAL, PANGKALPINANG",BIDAN,Profesi,02
"INSTITUT CITRA INTERNASIONAL, PANGKALPINANG",KEBIDANAN,S1,02
"INSTITUT KESEHATAN DAN TEKNOLOGI BUTON RAYA, BAUBAU",GIZI,S1,09
"SEKOLAH TINGGI ILMU KESEHATAN AKBIDYO, YOGYAKARTA",KEBIDANAN,D-III,05
"SEKOLAH TINGGI ILMU KESEHATAN MITRA HUSADA KARANGANYAR, KARANGANYAR",MANAJEMEN INFORMASI KESEHATAN,D-IV,06
Universitas Bina Nusantara,Kewirausahaan (Kampus Kota Bandung),S1,03
Institut Binamadani Indonesia,Perbankan Syariah,S1,PTAS
Universitas IPWIJA,Manajemen,S2,04
Universitas IPWIJA,Kewirausahaan,S1,04
Institut Nida El Adabi,Manajemen Bisnis Syariah,S1,PTAS
Institut Nida El Adabi,Ekonomi Syariah,S1,PTAS
Universitas Katolik Parahyangan,Matematika,S1,04
Universitas Islam Negeri Syarif Hidayatullah,Fisika,S1,PTAN
Universitas Islam Negeri Syarif Hidayatullah,Biologi,S1,PTAN
Universitas Islam Negeri Syarif Hidayatullah,Kimia,S1,PTAN
Universitas Wijaya Kusuma Surabaya,Ilmu Politik,S1,07
Universitas Prof Dr Hazairin SH,Administrasi Publik,S2,02
Universitas Islam Kalimantan Muhammad Arsyad Al Banjari Banjarmasin,Ilmu Administrasi Publik,S1,11
Universitas Sanata Dharma,Kajian Budaya,S2,05
STISIPOL Raja Haji,Ilmu Administrasi Publik,S1,17
Universitas Indonesia,Ilmu Administrasi Negara,S1,PTN
Universitas Pendidikan Muhammadiyah Sorong,Pendidikan Biologi,S1,14
Institut Agama Islam Bogor,Manajemen Pendidikan Islam,S1,PTAS
Universitas Islam Negeri Sultan Syarif Kasim Riau,Pendidikan Bahasa Indonesia,S1,PTAN
Universitas Islam Negeri Raden Mas Said Surakarta,Tadris Matematika,S1,PTAN
Universitas Negeri Malang,Bimbingan Dan Konseling,S2,PTN
Universitas Islam Negeri Mahmud Yunus Batusangkar,Tadris Matematika,S1,PTAN
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Bojonegoro,Pendidikan Agama Islam,S1,PTAS
Universitas Negeri Surabaya,Pendidikan Matematika,S3,PTN
Universitas Wahid Hasyim,Pendidikan Agama Islam,S1,06
Universitas Bina Bangsa Getsempena,Pendidikan Matematika,S1,13
Universitas Qomaruddin,Pendidikan Agama Islam,S1,07
Universitas Hasyim Asy'ari Tebuireng Jombang,Manajemen Pendidikan Islam,S1,07
Universitas Pendidikan Ganesha,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN
Universitas Samudra,Pendidikan Guru Sekolah Dasar,S1,PTN
Universitas Qomaruddin,Manajemen Pendidikan Islam,S1,07
Institut Agama Islam Negeri Ternate,Tadris Biologi,S1,PTAN
Universitas Tidar,Pendidikan Bahasa Inggris,S1,PTN
Sekolah Tinggi Ilmu Tarbiyah Tanggamus,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Universitas PGRI Palembang,Pendidikan Geografi,S1,02
Sekolah Tinggi Ilmu Tarbiyah Nurussalam,Manajemen Pendidikan Islam,S1,PTAS
Institut Agama Islam Negeri Madura,Pendidikan Agama Islam,S2,PTAN
Universitas KH. Abdul Chalim,Pendidikan Agama Islam,S3,PTAS
Universitas Negeri Padang,Pendidikan Agama Islam,S1,PTN
Institut Parahikma Indonesia,Manajemen Pendidikan Islam,S1,PTAS
Universitas Negeri Padang,Administrasi Pendidikan,S1,PTN
Universitas Islam Negeri Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Pendidikan Matematika,S1,PTAN
Universitas Negeri Semarang,"Pendidikan Jasmani, Kesehatan Dan Rekreasi",S1,PTN
Universitas Katolik Santo Thomas,Pendidikan Profesi Guru,Profesi,01
Universitas Islam Negeri Salatiga,Tadris Matematika,S1,PTAN
Universitas Pembangunan Panca Budi,Pendidikan Agama Islam,S1,01
Universitas Palangka Raya,Pendidikan Bahasa Inggris,S1,PTN
Universitas KH. Mukhtar Syafaat,Manajemen Pendidikan Islam,S2,PTAS
Universitas Muhammadiyah Kupang,Pendidikan Biologi,S1,15
Universitas Muhammadiyah Malang,Pendidikan Profesi Guru,Profesi,07
Universitas Islam Negeri Sumatera Utara Medan,Tadris Bahasa Indonesia,S1,PTAN
Universitas Sebelas April,Pendidikan Matematika,S2,04
Sekolah Tinggi Teologi Sabda Agung,Pendidikan Agama Kristen,S1,PTAS
Universitas Muhammadiyah Sorong,Pendidikan Bahasa Inggris,S1,14
Universitas Islam Negeri Antasari Banjarmasin,Tadris Kimia,S1,PTAN
Institut Agama Islam Negeri Palopo,Manajemen Pendidikan Islam,S1,PTAN
Institut Injil Indonesia,Pendidikan Agama Kristen,S1,PTAS
Universitas Islam Negeri Imam Bonjol Padang,Pendidikan Bahasa Arab,S1,PTAN
Institut Prima Bangsa,Pendidikan Teknik Informatika Dan Komputer,S1,04
Universitas Pancasakti Tegal,Pendidikan Bahasa Inggris,S1,06
Universitas Muhammadiyah Surakarta,Pendidikan Guru Pendidikan Anak Usia Dini,S1,06
Universitas Islam Negeri Antasari Banjarmasin,Manajemen Pendidikan Islam,S1,PTAN
Universitas Islam Zainul Hasan Genggong Probolinggo,Pendidikan Agama Islam,S1,PTAS
Universitas Islam Nahdlatul Ulama Jepara,Pendidikan Guru Pendidikan Anak Usia Dini,S1,06
Universitas Siliwangi,Pendidikan Profesi Guru,Profesi,PTN
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Pesisir Selatan,Pendidikan Matematika,S1,10
Institut Turatea Indonesia,Pendidikan Guru Sekolah Dasar,S1,09
Universitas Wahid Hasyim,Pendidikan Guru Madrasah Ibtidaiyah,S1,06
Universitas Negeri Yogyakarta,Pendidikan Teknik Sipil Dan Perencanaan,S1,PTN
Universitas Muhammadiyah Surakarta,Pendidikan Agama Islam,S2,06
Universitas PGRI Palembang,Pendidikan Profesi Guru,Profesi,02
Universitas Negeri Jakarta,Teknologi Pendidikan,S1,PTN
Universitas Negeri Malang,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN
Sekolah Tinggi Teologi Gereja Kristen Sumba,Pendidikan Agama Kristen,S1,PTAS
Universitas Negeri Yogyakarta,Pendidikan Fisika,S2,PTN
Universitas Riau,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN
Universitas Muhammadiyah Buton,Bimbingan Dan Konseling,S1,09
Universitas Al-Hikmah Indonesia,Manajemen Pendidikan Islam,S2,PTAS
Universitas Muhammadiyah Malang,Pendidikan Matematika,S2,07
Universitas Negeri Padang,Pendidikan Non Formal,S1,PTN
Universitas Nahdlatul Ulama Sunan Giri,Pendidikan Agama Islam,S1,07
Sekolah Tinggi Ilmu Tarbiyah Ibnu Sina Malang,Pendidikan Agama Islam,S1,PTAS
Sekolah Tinggi Agama Islam Darussalam Sumatera Selatan,Manajemen Pendidikan Islam,S1,PTAS
Universitas PGRI Adi Buana,Pendidikan Pancasila Dan Kewarganegaraan (Kampus Lamongan),S1,07
Universitas Islam Nusantara,Pendidikan Masyarakat,S1,04
Institut Agama Islam Negeri Curup,Pendidikan Agama Islam,S1,PTAN
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Pesisir Selatan,Pendidikan Geografi,S1,10
Universitas Negeri Semarang,Pendidikan Pancasila Dan Kewarganegaraan,S1,PTN
Universitas Islam Negeri Imam Bonjol Padang,Pendidikan Agama Islam,S2,PTAN
Universitas Negeri Yogyakarta,Pendidikan Kimia,S2,PTN
Universitas Negeri Padang,Pendidikan Luar Biasa,S1,PTN
Universitas Muhammadiyah Bima,Pendidikan Agama Islam,S2,08
Universitas Negeri Yogyakarta,Pendidikan Ilmu Pengetahuan Alam,S1,PTN
Universitas Islam Negeri Raden Intan Lampung,Pendidikan Biologi,S1,PTAN
Universitas Sebelas April,Pendidikan Bahasa Indonesia,S2,04
Sekolah Tinggi Ilmu Tarbiyah Ispini,Manajemen Pendidikan Islam,S1,PTAS
Universitas Aryasatya Deo Muri,Pendidikan Bahasa Inggris,S1,15
Universitas Hasyim Asy'ari Tebuireng Jombang,Pendidikan Guru Madrasah Ibtidaiyah,S1,07
Sekolah Tinggi Ilmu Tarbiyah Misbahudin Ahmad,Tadris Bahasa Inggris,S1,PTAS
Institut Agama Kristen Negeri Kupang,Pendidikan Agama Kristen,S2,PTAN
Universitas Islam Nahdlatul Ulama Jepara,Pendidikan Guru Sekolah Dasar,S1,06
Institut Sains Al-Qur'an Syekh Ibrahim Pasir Pangaraian Rokan Hulu,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS
Institut Agama Islam Khozinatul Ulum Blora,Pendidikan Agama Islam,S1,PTAS
Universitas Pendidikan Indonesia,Pendidikan Seni,S3,PTN
Universitas Muhammadiyah Sumatera Utara,Pendidikan Agama Islam,S1,01
Universitas Syiah Kuala,Pendidikan Bahasa Inggris,S1,PTN
Universitas Sebelas Maret,Pendidikan Sejarah,S2,PTN
Universitas Negeri Yogyakarta,Pendidikan Biologi,S1,PTN
Universitas Bondowoso,Pendidikan Matematika,S1,07
Sekolah Tinggi Agama Islam Negeri Teungku Dirundeng Meulaboh,Pendidikan Agama Islam,S1,PTAN
Universitas PGRI Pontianak,Pendidikan Sejarah,S1,11
Institut Teknologi Mojosari,Pendidikan Teknologi Informasi,S1,07
Universitas Islam Negeri Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Tadris Bahasa Inggris,S1,PTAN
Universitas Negeri Padang,"Pendidikan Jasmani, Kesehatan Dan Rekreasi",S1,PTN
Universitas Negeri Semarang,Pendidikan Geografi,S1,PTN
Universitas PGRI Yogyakarta,Pendidikan Sejarah,S1,05
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Surya Kasih,Pendidikan Guru Sekolah Dasar,S1,15
Universitas Cokroaminoto Yogyakarta,Pendidikan Matematika,S1,05
Universitas Bosowa,Pendidikan Bahasa Dan Sastra Indonesia,S1,09
Universitas PGRI Pontianak,Pendidikan Pancasila Dan Kewarganegaraan,S1,11
Universitas Cenderawasih,Pendidikan Guru Sekolah Dasar,S1,PTN
Universitas Islam Negeri Siber Syekh Nurjati Cirebon,Tadris Kimia,S1,PTAN
Sekolah Tinggi Teologi Apollos Jakarta,Pendidikan Agama Kristen,S2,PTAS
Universitas Negeri Malang,Pendidikan Bahasa Mandarin,S1,PTN
Universitas Islam Nusantara,Administrasi Pendidikan,S2,04
Universitas Negeri Padang,Pendidikan Anak Usia Dini,S2,PTN
Institut Agama Islam Negeri Palopo,Pendidikan Bahasa Inggris,S1,PTAN
Universitas Negeri Malang,Pendidikan Kejuruan,S3,PTN
Universitas Negeri Malang,Pendidikan Luar Sekolah,S3,PTN
Universitas Muhammadiyah Sorong,Pendidikan Matematika,S1,14
Sekolah Tinggi Agama Islam Negeri Bengkalis,Pendidikan Agama Islam,S1,PTAN
Sekolah Tinggi Teologi IKI El-Shaddai,Pendidikan Agama Kristen,S1,PTAS
Institut Agama Islam Negeri Kendari,Manajemen Pendidikan Islam,S1,PTAN
Universitas Muhammadiyah Kupang,Pendidikan Bahasa Dan Sastra Indonesia,S1,15
Universitas Negeri Surabaya,Pendidikan Sains,S3,PTN
Universitas Negeri Surabaya,Pendidikan Vokasional Teknologi Otomotif,S1,PTN
Universitas Negeri Surabaya,Teknologi Pendidikan (Kampus Kabupaten Magetan),S1,PTN
Universitas Negeri Surabaya,Bimbingan Dan Konseling (Kampus Kabupaten Magetan),S1,PTN
Universitas Negeri Surabaya,Pendidikan Bahasa Dan Sastra Indonesia (Kampus Kabupaten Magetan),S1,PTN
Universitas Pancasakti Tegal,Pemanfaatan Sumber Daya Perikanan,S1,06
Institut Agama Islam Negeri Curup,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN
Universitas Widyatama,Desain Grafis,D-IV,04
Universitas Narotama,Ilmu Hukum,S2,07
Universitas Bina Insani,Manajemen Administrasi,D-III,04
Universitas Diponegoro,Peternakan,S2,PTN
Politeknik Prasetiya Mandiri,Administrasi Bisnis Internasional (Kampus Kota Palembang),D-IV,04
Universitas Diponegoro,Oseanografi,S1,PTN
Universitas Islam Negeri Datokarama Palu,Hukum Ekonomi Syariah (Muamalah),S1,PTAN
Politeknik STIA LAN Jakarta,Administrasi Pembangunan Negara,S2 Terapan,PTKL
Universitas Sari Mutiara Indonesia Medan,Hukum,S1,01
Institut Agama Islam Negeri Kediri,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN
Universitas Jember,Ilmu Kesejahteraan Sosial,S1,PTN
Universitas Negeri Manado,Ilmu Keolahragaan,S1,PTN
Universitas Islam Negeri Imam Bonjol Padang,Tasawuf Dan Psikoterapi,S1,PTAN
Sekolah Tinggi Ilmu Pertanian Amuntai,Agribisnis,S1,11
Politeknik Sahid,Pengelolaan Perhotelan,D-IV,03
Universitas Papua,Teknologi Hasil Pertanian,S1,PTN
Universitas Indonesia Maju,Psikologi,S1,03
Universitas Indonesia,Ilmu Lingkungan,S2,PTN
Universitas Bangka Belitung,Perikanan Tangkap,S1,PTN
Universitas Bangka Belitung,Perencanaan Wilayah Dan Kota,S1,PTN
Universitas Gadjah Mada,Magister Ilmu Hama Tanaman,S2,PTN
Universitas Al-Falah As-Sunniyah,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS
Universitas Islam Tribakti Lirboyo Kediri,Ilmu Al Quran Dan Tafsir,S1,PTAS
Universitas Airlangga,Hukum Dan Pembangunan,S3,PTN
Universitas Wiraraja,Desain Komunikasi Visual,S1,07
Universitas Nurul Hasan Bacan,Perikanan,S1,12
Universitas Islam Indonesia,Arsitektur,S1,05
Politeknik Sahid,Perhotelan,D-I,03
Politeknik Pratama Mulia,Sekretari,D-III,06
Akademi Maritim Nusantara Cilacap,Ketatalaksanaan Pelayaran Niaga Dan Kepel,D-III,06
Institut Agama Islam Negeri Ponorogo,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN
Universitas PGRI Silampari,Desain Komunikasi Visual,S1,02
Universitas Pembangunan Nasional Veteran Jawa Timur,Desain Interior,S1,PTN
Sekolah Tinggi Agama Kristen Kupang Provinsi Nusa Tenggara Timur,Teologi,S1,PTAS
Universitas Pembangunan Nasional Veteran Jakarta,Hukum,S1,PTN
Universitas Bali Internasional,Ilmu Administrasi Negara,S1,08
"STAI Al-Falah Banjarbaru, Banjarmasin Kalimantan Selatan",Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS
Universitas Sulawesi Tenggara,Ilmu Hukum,S1,09
Universitas Bhayangkara Jakarta Raya,Ilmu Komunikasi,S2,03
Politeknik Negeri Lampung,Pengelolaan Agribisnis,D-IV,PTN
Universitas Ubudiyah Indonesia,Arsitektur,S1,13
Universitas Tidar,Ilmu Komunikasi,S1,PTN
Politeknik Negeri Pontianak,Pengolahan Hasil Perkebunan Terpadu,D-IV,PTN
Universitas Dharma Andalas,Teknologi Industri Pertanian,S1,10
Politeknik Negeri Bali,Administrasi Perpajakan,D-II,PTN
Universitas Negeri Gorontalo,Linguistik Terapan,S3,PTN
Sekolah Tinggi Teologi Presbyterian Shema,Teologi (Akademik),S1,PTAS
Institut Teknologi Dan Sains Nahdlatul Ulama Jambi,Kehutanan,S1,10
Universitas Karimun,Manajemen Kepelabuhan Dan Pelayaran,S1,17
Universitas Halu Oleo,Ilmu Tanah,S1,PTN
Politeknik Belitung,Usaha Perjalanan Wisata,D-IV,02
Universitas Ngudi Waluyo,Sastra Jepang,S1,06
Universitas Satya Terra Bhinneka,Agribisnis,S1,01
Universitas Mataram,Ilmu Komunikasi,S1,PTN
Sekolah Tinggi Ilmu Administrasi Bayuangga,Ilmu Administrasi Niaga,S1,07
Universitas Bengkulu,Kenotariatan,S2,PTN
Universitas Nahdlatul Ulama Kalimantan Barat,Manajemen Sumber Daya Perairan,S1,11
Universitas Pendidikan Muhammadiyah Sorong,Ilmu Komunikasi,S1,14
Universitas Negeri Gorontalo,Administrasi Publik,S1,PTN
Universitas Muhammadiyah Jakarta,Agribisnis,S1,03
Universitas Kristen Cipta Wacana,Ilmu Hukum,S1,07
Sekolah Tinggi Ilmu Agama Buddha Jinarakkhita,Ilmu Komunikasi Buddha,S1,PTAS
Universitas Islam Negeri Sunan Gunung Djati,Studi Agama-Agama,S1,PTAN
STT Seapin Filadelfia Pinangunian Bitung,Teologi (Akademik),S1,PTAS
Institut Teknologi Dan Pendidikan Markandeya Bali,Hukum Adat,S1,08
Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia,Hubungan Masyarakat Kampus Kota Pekanbaru,D-II,04
"INSTITUT KESEHATAN PAYUNG NEGERI PEKANBARU, PEKANBARU",ILMU KEPERAWATAN,S1,17
"INSTITUT KESEHATAN PAYUNG NEGERI PEKANBARU, PEKANBARU",NERS,Profesi,17
"SEKOLAH TINGGI ILMU KESEHATAN KARYA HUSADA KEDIRI, KEDIRI",NERS,Profesi,07
"SEKOLAH TINGGI ILMU KESEHATAN KARYA HUSADA KEDIRI, KEDIRI",ILMU KEPERAWATAN,S1,07
"UNIVERSITAS ISLAM NEGERI ALAUDDIN MAKASSAR, MAKASSAR",FARMASI,S1,PTAN
"INSTITUT KESEHATAN HELVETIA, MEDAN",DOKTER GIGI,Profesi,01
"INSTITUT KESEHATAN HELVETIA, MEDAN",KEDOKTERAN GIGI,S1,01
"INSTITUT TORAJA RAYA INDONESIA, TORAJA UTARA",ADMINISTRASI KESEHATAN,S1,09
"SEKOLAH TINGGI ILMU KESEHATAN HESTI WIRA SRIWIJAYA, PALEMBANG",NERS,Profesi,02
"UNIVERSITAS FAMIKA, MAKASSAR",KESELAMATAN DAN KESEHATAN KERJA,S1,09
Politeknik Pertanian Negeri Samarinda,Teknologi Rekayasa Geomatika Dan Survei,D-IV,PTN
Universitas Gadjah Mada,Doktor Biologi,S3,PTN
Universitas Gadjah Mada,Sistem Informasi Geografis,D4,PTN
Universitas Gadjah Mada,Magister Biologi,S2,PTN
Universitas Mulawarman,Biologi,S2,PTN
Universitas Cenderawasih,Biologi,S2,PTN
Institut Pertanian Bogor,Ilmu Kimia,S3,PTN
Universitas Islam Indonesia,Kimia,S2,05
Universitas Internasional Batam,Biologi,S1,17
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG KARANG, TANJUNG KARANG",TEKNIK GIGI,D-III,PTKL
"SEKOLAH TINGGI ILMU KESEHATAN ADILA, BANDAR LAMPUNG",KEBIDANAN,D-III,02
"SEKOLAH TINGGI ILMU KESEHATAN FATIMA PAREPARE, PAREPARE",ADMINISTRASI KESEHATAN,S1,09
"SEKOLAH TINGGI ILMU KESEHATAN KARYA KESEHATAN, KENDARI",NERS,Profesi,09
"SEKOLAH TINGGI ILMU KESEHATAN KARYA KESEHATAN, KENDARI",KEPERAWATAN,S1,09
"UNIVERSITAS AHMAD DAHLAN, YOGYAKARTA",KEDOKTERAN,S1,05
"UNIVERSITAS AHMAD DAHLAN, YOGYAKARTA",DOKTER,Profesi,05
"UNIVERSITAS DIAN NUSWANTORO, SEMARANG",KESEHATAN MASYARAKAT,S2,06
"UNIVERSITAS DIPONEGORO, SEMARANG",PENYAKIT DALAM,Subspesialis,PTN
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",ILMU KEDOKTERAN DAN KESEHATAN,S3,PTN
"UNIVERSITAS ISLAM JEMBER, JEMBER",KEBIDANAN,D-III,07
"UNIVERSITAS ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA, JAKARTA",DOKTER,Profesi,PTAN
"UNIVERSITAS ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA, JAKARTA",PENDIDIKAN DOKTER,S1,PTAN
"UNIVERSITAS MUHAMMADIYAH PRINGSEWU LAMPUNG, PRINGSEWU",NERS,Profesi,02
"UNIVERSITAS MUHAMMADIYAH PRINGSEWU LAMPUNG, PRINGSEWU",KEPERAWATAN,S1,02
